                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.81572,                0.72953,                  1.283,                0.90318,                0.89253,                0.93653,                0.72786,                0.81736,                0.55735,                 1.2867,              0.0096733,              0.0096733,              0.0096733
                     35,                0.80946,                0.72174,                 1.2772,                0.91852,                 0.8783,                0.93379,                0.72009,                0.84497,                0.59262,                 1.3074,              0.0096634,              0.0096634,              0.0096634
                     36,                 0.8154,                0.72587,                 1.2786,                0.91013,                0.88534,                0.94283,                0.73226,                0.81593,                0.57046,                 1.2906,              0.0096535,              0.0096535,              0.0096535
                     37,                0.82422,                 0.7367,                  1.285,                0.91313,                0.88283,                0.93794,                 0.7223,                0.81364,                 0.5853,                 1.2731,              0.0096436,              0.0096436,              0.0096436
                     38,                0.79551,                0.69737,                  1.259,                0.90508,                0.88356,                0.93727,                0.73721,                0.81004,                0.54768,                 1.2651,              0.0096337,              0.0096337,              0.0096337
                     39,                 0.7912,                0.69411,                 1.2548,                0.93245,                0.86994,                0.94072,                0.73475,                0.81525,                 0.5503,                 1.2791,              0.0096238,              0.0096238,              0.0096238
                     40,                0.79245,                0.69178,                 1.2575,                0.90676,                0.89367,                 0.9301,                0.73214,                0.80308,                0.54492,                 1.2555,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.7922,                0.70001,                 1.2493,                0.93166,                0.88019,                0.94677,                0.73566,                0.82049,                0.54136,                 1.2753,               0.009604,               0.009604,               0.009604
                     42,                 0.7884,                0.68001,                 1.2611,                0.89889,                 0.8934,                0.93408,                0.73276,                0.81259,                0.55804,                 1.2861,              0.0095941,              0.0095941,              0.0095941
                     43,                0.78445,                0.67899,                 1.2568,                0.90105,                0.91222,                0.94305,                0.73855,                0.80027,                 0.5345,                 1.2638,              0.0095842,              0.0095842,              0.0095842
                     44,                 0.7816,                0.67608,                 1.2519,                 0.9325,                0.89597,                0.94903,                0.73284,                0.81647,                0.52756,                 1.2824,              0.0095743,              0.0095743,              0.0095743
                     45,                0.77563,                0.68397,                 1.2495,                0.89992,                0.91149,                0.94944,                0.74693,                0.79263,                0.51324,                 1.2642,              0.0095644,              0.0095644,              0.0095644
                     46,                0.77678,                0.67924,                 1.2486,                0.92265,                0.89595,                0.94793,                 0.7493,                0.79548,                0.51006,                 1.2795,              0.0095545,              0.0095545,              0.0095545
                     47,                 0.7649,                0.66348,                 1.2304,                0.91034,                0.90277,                0.95358,                0.75904,                0.78311,                0.49681,                 1.2448,              0.0095446,              0.0095446,              0.0095446
                     48,                0.75132,                0.63204,                 1.2285,                0.92394,                0.89813,                0.94183,                0.74308,                0.78371,                0.54031,                 1.2606,              0.0095347,              0.0095347,              0.0095347
                     49,                0.75148,                0.64057,                 1.2376,                0.92319,                0.89008,                0.94747,                0.74611,                0.78214,                0.50697,                 1.2305,              0.0095248,              0.0095248,              0.0095248
                     50,                0.75931,                0.63686,                 1.2222,                0.92259,                0.91711,                0.95616,                0.76073,                0.76846,                0.48004,                 1.2292,              0.0095149,              0.0095149,              0.0095149
                     51,                0.75947,                 0.6343,                 1.2282,                0.91144,                0.91091,                0.95116,                0.75051,                0.76803,                 0.5055,                 1.2363,               0.009505,               0.009505,               0.009505
                     52,                0.74681,                 0.6452,                 1.2319,                0.92267,                0.91221,                0.95147,                0.74657,                0.78663,                0.49317,                 1.2473,              0.0094951,              0.0094951,              0.0094951
                     53,                0.74423,                0.62853,                 1.2254,                0.91716,                0.90617,                0.94699,                0.75515,                0.76734,                0.48088,                 1.2294,              0.0094852,              0.0094852,              0.0094852
                     54,                0.75616,                0.63793,                 1.2331,                0.93618,                0.91165,                0.96199,                0.76134,                0.77558,                0.47916,                 1.2333,              0.0094753,              0.0094753,              0.0094753
                     55,                 0.7478,                0.63732,                 1.2237,                 0.9277,                0.89954,                0.95416,                0.75368,                0.77156,                0.49084,                 1.2169,              0.0094654,              0.0094654,              0.0094654
                     56,                0.73618,                0.62147,                 1.2158,                0.92877,                 0.8871,                0.94481,                0.74816,                0.77104,                0.50036,                 1.2301,              0.0094555,              0.0094555,              0.0094555
                     57,                0.74281,                0.61367,                 1.2174,                0.91106,                0.90419,                0.94823,                0.76275,                0.75973,                0.50367,                 1.2261,              0.0094456,              0.0094456,              0.0094456
                     58,                0.72899,                0.61524,                 1.2207,                0.91802,                0.90547,                 0.9461,                0.74674,                0.76684,                0.49823,                 1.2316,              0.0094357,              0.0094357,              0.0094357
                     59,                0.73231,                0.61562,                 1.2211,                0.89218,                0.90651,                0.93407,                0.73837,                0.76573,                0.52139,                 1.2365,              0.0094258,              0.0094258,              0.0094258
                     60,                0.72228,                0.60368,                 1.2114,                0.93681,                0.88952,                0.95202,                  0.747,                0.76532,                0.48631,                 1.2251,              0.0094159,              0.0094159,              0.0094159
                     61,                0.73439,                0.59493,                 1.2154,                0.90898,                0.91551,                0.95533,                 0.7574,                0.77435,                0.48423,                 1.2422,               0.009406,               0.009406,               0.009406
                     62,                0.74088,                0.60842,                 1.2197,                0.92663,                0.90819,                0.95572,                0.75742,                 0.7677,                0.48056,                  1.232,              0.0093961,              0.0093961,              0.0093961
                     63,                0.71993,                0.58777,                 1.2044,                0.91539,                0.89443,                0.94538,                0.75725,                0.77186,                0.49807,                 1.2245,              0.0093862,              0.0093862,              0.0093862
                     64,                0.71511,                0.59364,                 1.1934,                 0.9286,                0.89739,                0.94764,                0.76005,                0.76276,                0.49113,                 1.2219,              0.0093763,              0.0093763,              0.0093763
                     65,                0.70504,                0.58705,                 1.1903,                0.90813,                0.90921,                0.94153,                0.74723,                0.76909,                 0.4729,                 1.2211,              0.0093664,              0.0093664,              0.0093664
                     66,                0.71626,                0.58543,                 1.2041,                0.91874,                0.92131,                0.95637,                0.76794,                0.74944,                0.46243,                 1.2182,              0.0093565,              0.0093565,              0.0093565
                     67,                0.70498,                0.58037,                 1.1879,                0.91341,                0.91121,                0.94885,                0.75658,                0.76137,                0.48756,                 1.2195,              0.0093466,              0.0093466,              0.0093466
                     68,                0.70416,                 0.5808,                 1.1979,                0.92506,                0.89534,                 0.9473,                0.75168,                 0.7587,                0.47893,                 1.2281,              0.0093367,              0.0093367,              0.0093367
                     69,                0.70706,                0.57053,                 1.2029,                0.90828,                0.93279,                0.94872,                0.76175,                0.76042,                0.47039,                 1.2232,              0.0093268,              0.0093268,              0.0093268
                     70,                0.69291,                0.57603,                 1.1896,                0.92104,                0.91378,                0.95687,                0.76811,                0.77075,                0.46946,                 1.2327,              0.0093169,              0.0093169,              0.0093169
                     71,                0.70809,                 0.5687,                 1.1957,                0.91681,                0.91383,                0.95538,                0.76335,                0.77462,                0.47044,                 1.2404,               0.009307,               0.009307,               0.009307
                     72,                0.69902,                0.57536,                 1.1865,                0.90756,                0.92769,                0.95351,                0.75746,                0.78226,                0.48553,                 1.2511,              0.0092971,              0.0092971,              0.0092971
                     73,                0.68096,                0.55351,                 1.1821,                0.94762,                0.89897,                0.95443,                0.76909,                0.75303,                0.46518,                 1.2209,              0.0092872,              0.0092872,              0.0092872
                     74,                 0.6827,                0.55813,                 1.1774,                0.91458,                0.90617,                0.95245,                0.76159,                0.76477,                 0.4773,                  1.236,              0.0092773,              0.0092773,              0.0092773
                     75,                0.69174,                0.55311,                 1.1885,                0.90225,                0.92126,                0.94258,                0.75559,                0.76202,                0.48402,                  1.227,              0.0092674,              0.0092674,              0.0092674
                     76,                0.68206,                0.54493,                 1.1749,                0.92758,                0.90746,                0.94588,                0.75201,                0.77233,                0.48249,                 1.2371,              0.0092575,              0.0092575,              0.0092575
                     77,                 0.6955,                  0.547,                  1.189,                0.91275,                0.91782,                0.95971,                0.77106,                0.76107,                0.44961,                 1.2252,              0.0092476,              0.0092476,              0.0092476
                     78,                0.68481,                 0.5344,                 1.1718,                0.92564,                0.91015,                 0.9511,                0.75822,                0.77483,                0.48303,                 1.2273,              0.0092377,              0.0092377,              0.0092377
                     79,                0.68149,                0.54247,                  1.173,                0.93416,                0.91081,                0.95237,                0.76168,                0.76689,                0.45204,                  1.227,              0.0092278,              0.0092278,              0.0092278
                     80,                0.68401,                 0.5387,                 1.1764,                0.92418,                0.91402,                0.95377,                0.76486,                0.74343,                0.47291,                 1.2094,              0.0092179,              0.0092179,              0.0092179
                     81,                0.66854,                 0.5356,                 1.1625,                0.91507,                0.90603,                0.93639,                 0.7464,                0.75518,                0.48486,                 1.2213,               0.009208,               0.009208,               0.009208
                     82,                0.67843,                0.54864,                 1.1737,                0.92376,                0.89902,                0.93932,                0.75565,                0.74377,                0.46743,                 1.2119,              0.0091981,              0.0091981,              0.0091981
                     83,                0.67215,                0.54451,                  1.168,                0.91483,                0.91926,                0.95027,                0.77147,                0.73324,                0.44867,                    1.2,              0.0091882,              0.0091882,              0.0091882
                     84,                0.67081,                0.53141,                 1.1609,                 0.9461,                0.89362,                0.95451,                0.76826,                0.74875,                0.46809,                 1.2154,              0.0091783,              0.0091783,              0.0091783
                     85,                0.67397,                0.53249,                 1.1666,                0.91234,                0.91833,                0.94449,                0.76266,                0.72458,                0.46191,                 1.1998,              0.0091684,              0.0091684,              0.0091684
                     86,                0.66445,                0.53469,                 1.1627,                 0.9064,                0.91793,                0.95659,                0.77031,                0.74117,                0.45178,                 1.2147,              0.0091585,              0.0091585,              0.0091585
                     87,                0.65365,                0.52022,                 1.1612,                0.93066,                  0.914,                0.95812,                0.77745,                0.73312,                0.44878,                 1.1992,              0.0091486,              0.0091486,              0.0091486
                     88,                0.66023,                0.52825,                 1.1613,                0.92266,                0.90754,                0.95429,                 0.7738,                0.74044,                0.46704,                 1.2154,              0.0091387,              0.0091387,              0.0091387
                     89,                0.66195,                0.53134,                 1.1554,                0.92734,                0.90597,                0.95051,                 0.7736,                0.71874,                 0.4463,                 1.1943,              0.0091288,              0.0091288,              0.0091288
                     90,                0.66025,                0.51037,                 1.1648,                0.93198,                 0.8942,                0.94843,                0.76661,                0.74479,                 0.4644,                 1.2164,              0.0091189,              0.0091189,              0.0091189
                     91,                0.64251,                0.50627,                 1.1512,                0.94974,                 0.8927,                0.96174,                0.78492,                 0.7274,                 0.4267,                 1.1952,               0.009109,               0.009109,               0.009109
                     92,                0.65941,                 0.5126,                 1.1619,                0.93322,                0.90862,                0.95757,                0.77931,                0.73288,                0.43986,                 1.1945,              0.0090991,              0.0090991,              0.0090991
                     93,                0.65409,                0.51254,                 1.1535,                0.92341,                0.91908,                0.95944,                0.77865,                0.73348,                0.43199,                 1.2053,              0.0090892,              0.0090892,              0.0090892
                     94,                0.65716,                0.51111,                  1.152,                0.91674,                0.91479,                0.95119,                0.76382,                0.74248,                0.45194,                 1.2094,              0.0090793,              0.0090793,              0.0090793
                     95,                0.63976,                0.50446,                 1.1483,                0.91241,                0.91313,                0.95342,                0.77786,                0.72714,                0.45105,                 1.1952,              0.0090694,              0.0090694,              0.0090694
                     96,                0.65098,                0.51481,                 1.1568,                0.90999,                0.92459,                0.95233,                0.77465,                0.72179,                0.43858,                 1.2148,              0.0090595,              0.0090595,              0.0090595
                     97,                0.64533,                0.49672,                  1.149,                0.92814,                 0.9013,                0.95064,                0.77292,                 0.7328,                0.43702,                  1.211,              0.0090496,              0.0090496,              0.0090496
                     98,                0.65073,                0.50544,                  1.157,                0.91344,                0.92935,                0.96491,                0.78338,                0.71927,                0.41471,                 1.2026,              0.0090397,              0.0090397,              0.0090397
                     99,                 0.6307,                 0.4882,                   1.14,                0.91571,                0.92914,                0.95743,                0.78273,                0.70952,                0.43025,                  1.188,              0.0090298,              0.0090298,              0.0090298
                    100,                0.64691,                0.49434,                 1.1401,                0.93789,                0.92865,                0.95809,                0.77835,                0.72477,                0.43037,                 1.2046,              0.0090199,              0.0090199,              0.0090199
                    101,                0.64302,                0.50477,                 1.1472,                 0.9185,                0.92238,                0.95827,                0.77643,                0.72518,                0.43743,                 1.2035,                0.00901,                0.00901,                0.00901
                    102,                0.63449,                0.49224,                 1.1386,                0.94846,                 0.9155,                0.95802,                0.77839,                0.72708,                0.42264,                 1.1964,              0.0090001,              0.0090001,              0.0090001
                    103,                0.63802,                0.49229,                  1.136,                0.92567,                0.92818,                0.95956,                0.77855,                0.73511,                0.42555,                 1.2121,              0.0089902,              0.0089902,              0.0089902
                    104,                0.62759,                0.49025,                 1.1292,                0.91565,                0.91915,                0.95199,                0.77513,                0.72601,                0.43531,                 1.2016,              0.0089803,              0.0089803,              0.0089803
                    105,                0.63172,                0.48823,                 1.1421,                0.94763,                0.89745,                0.96318,                0.77595,                0.73789,                0.42388,                 1.2088,              0.0089704,              0.0089704,              0.0089704
                    106,                0.63616,                0.51289,                 1.1382,                0.93689,                0.89859,                0.95476,                0.78448,                 0.7143,                0.43787,                 1.1863,              0.0089605,              0.0089605,              0.0089605
                    107,                0.62772,                0.48774,                 1.1264,                0.92715,                 0.9016,                0.95277,                0.77873,                0.71771,                0.43956,                  1.198,              0.0089506,              0.0089506,              0.0089506
                    108,                0.62719,                0.48344,                 1.1331,                 0.9323,                0.90122,                0.95785,                0.78199,                 0.7094,                0.43698,                 1.1912,              0.0089407,              0.0089407,              0.0089407
                    109,                0.61397,                0.49022,                 1.1299,                0.94314,                0.90422,                0.96297,                0.78986,                0.71346,                0.43291,                 1.1896,              0.0089308,              0.0089308,              0.0089308
                    110,                0.61898,                0.48287,                 1.1232,                0.92868,                0.91239,                0.95007,                0.76905,                0.72556,                0.43429,                 1.1868,              0.0089209,              0.0089209,              0.0089209
                    111,                0.61653,                0.47499,                 1.1221,                0.94488,                0.90503,                0.95888,                0.78213,                 0.7165,                0.43568,                 1.1867,               0.008911,               0.008911,               0.008911
                    112,                0.62876,                0.48441,                  1.138,                0.93256,                0.92397,                0.95603,                0.77752,                0.72432,                0.42771,                 1.1902,              0.0089011,              0.0089011,              0.0089011
                    113,                0.62441,                0.48107,                 1.1308,                0.93079,                0.91737,                0.95519,                0.78224,                0.72767,                0.43942,                 1.1891,              0.0088912,              0.0088912,              0.0088912
                    114,                0.61724,                0.48304,                 1.1263,                0.92735,                0.92695,                0.96193,                0.78153,                0.72246,                0.42245,                 1.2021,              0.0088813,              0.0088813,              0.0088813
                    115,                0.61535,                0.46681,                 1.1286,                0.93608,                0.90651,                0.95752,                0.77763,                0.72017,                  0.432,                 1.2022,              0.0088714,              0.0088714,              0.0088714
                    116,                0.60603,                0.47413,                 1.1309,                0.94746,                0.89696,                0.95671,                0.77721,                0.72922,                0.43738,                 1.2175,              0.0088615,              0.0088615,              0.0088615
                    117,                0.60448,                0.46849,                 1.1206,                0.93424,                0.90722,                0.95422,                0.77976,                0.72961,                0.42526,                 1.2082,              0.0088516,              0.0088516,              0.0088516
                    118,                0.61419,                0.46618,                 1.1283,                0.92065,                0.92007,                0.95518,                0.77712,                0.71767,                0.44201,                 1.1953,              0.0088417,              0.0088417,              0.0088417
                    119,                0.60242,                0.47284,                 1.1223,                0.93024,                 0.9109,                0.95717,                0.78786,                0.71031,                 0.4295,                 1.1764,              0.0088318,              0.0088318,              0.0088318
                    120,                 0.6208,                0.47115,                 1.1333,                0.93848,                0.90204,                0.95453,                0.77983,                0.71366,                0.41968,                 1.1848,              0.0088219,              0.0088219,              0.0088219
                    121,                0.60524,                 0.4642,                 1.1271,                0.92116,                0.91724,                0.95846,                0.78847,                0.70943,                0.42371,                 1.1853,               0.008812,               0.008812,               0.008812
                    122,                0.60302,                0.45463,                 1.1247,                0.94316,                0.90193,                0.95981,                0.78572,                0.72468,                0.42539,                  1.209,              0.0088021,              0.0088021,              0.0088021
                    123,                0.59591,                0.46163,                 1.1122,                0.94376,                0.90442,                0.95734,                0.78595,                0.71584,                  0.426,                 1.2006,              0.0087922,              0.0087922,              0.0087922
                    124,                0.60665,                0.46231,                  1.126,                0.92697,                0.90913,                0.95889,                0.78465,                 0.7008,                0.42942,                 1.1901,              0.0087823,              0.0087823,              0.0087823
